date,trend,city
2025-09-29,41.808396856766414,Bangalore
2025-09-30,42.80872153209109,Bangalore
2025-10-01,43.19265010351966,Bangalore
2025-10-02,43.700279973649536,Bangalore
2025-10-03,42.74553689064558,Bangalore
2025-10-04,42.07708450969321,Bangalore
2025-10-05,42.22971014492754,Bangalore
2025-10-06,41.82815734989647,Bangalore
2025-10-07,42.08295689817429,Bangalore
2025-10-08,41.9513575192923,Bangalore
2025-10-09,42.0582674571805,Bangalore
2025-10-10,42.67891963109354,Bangalore
2025-10-11,43.245586297760205,Bangalore
2025-10-12,43.652458592132504,Bangalore
2025-10-13,44.066149068322986,Bangalore
2025-10-14,44.88913043478261,Bangalore
2025-10-15,45.017701863354034,Bangalore
2025-10-16,44.882220496894405,Bangalore
2025-10-17,44.34225451049985,Bangalore
2025-10-18,43.94404022478557,Bangalore
2025-10-19,43.11130212954747,Bangalore
2025-10-20,42.110196687370596,Bangalore
2025-10-21,42.37981837003576,Bangalore
2025-10-22,42.139445699228304,Bangalore
2025-10-23,41.762830052969804,Bangalore
