date,trend,city
2025-09-29,54.334163507300154,Nagpur
2025-09-30,56.262139697776334,Nagpur
2025-10-01,54.77370432362668,Nagpur
2025-10-02,54.14042275012772,Nagpur
2025-10-03,53.04516583313167,Nagpur
2025-10-04,53.767893105858946,Nagpur
2025-10-05,53.779576039902125,Nagpur
2025-10-06,53.23858225108225,Nagpur
2025-10-07,52.177867965367966,Nagpur
2025-10-08,52.891558441558445,Nagpur
2025-10-09,53.38614953886693,Nagpur
2025-10-10,52.55819922830791,Nagpur
2025-10-11,52.57129917184265,Nagpur
2025-10-12,52.02448945981554,Nagpur
2025-10-13,51.22073687182383,Nagpur
2025-10-14,53.04695322793148,Nagpur
2025-10-15,52.9645256916996,Nagpur
2025-10-16,53.34571099190664,Nagpur
2025-10-17,54.3528390605254,Nagpur
2025-10-18,54.326102753354306,Nagpur
2025-10-19,54.59527271382861,Nagpur
2025-10-20,55.28225511548493,Nagpur
2025-10-21,54.400465166303675,Nagpur
2025-10-22,54.846427899222924,Nagpur
2025-10-23,54.74940926568256,Nagpur
