date,trend,city
2025-09-29,70.88128512274474,Vadodara
2025-09-30,72.45368772014734,Vadodara
2025-10-01,76.10146910542873,Vadodara
2025-10-02,74.24976842515662,Vadodara
2025-10-03,73.90528084751686,Vadodara
2025-10-04,73.85689010782178,Vadodara
2025-10-05,75.385291468366,Vadodara
2025-10-06,75.14305544352128,Vadodara
2025-10-07,75.2334079481595,Vadodara
2025-10-08,73.34931703906858,Vadodara
2025-10-09,75.97328117017558,Vadodara
2025-10-10,76.82955446210104,Vadodara
2025-10-11,78.02944623699281,Vadodara
2025-10-12,76.87349385604044,Vadodara
2025-10-13,75.69280766852197,Vadodara
2025-10-14,74.16467989567369,Vadodara
2025-10-15,74.1819159205184,Vadodara
2025-10-16,73.78099600709848,Vadodara
2025-10-17,73.6084960070985,Vadodara
2025-10-18,74.14301981662229,Vadodara
2025-10-19,72.99177758059744,Vadodara
2025-10-20,71.64824016563145,Vadodara
2025-10-21,73.18053830227743,Vadodara
2025-10-22,71.5973931865236,Vadodara
2025-10-23,69.63655985319028,Vadodara
