date,trend,city
2025-09-29,86.86884057971014,Lucknow
2025-09-30,85.05828157349896,Lucknow
2025-10-01,84.65455486542442,Lucknow
2025-10-02,86.69715690624075,Lucknow
2025-10-03,87.20212585034012,Lucknow
2025-10-04,86.11757616089913,Lucknow
2025-10-05,88.27720349009167,Lucknow
2025-10-06,87.8914892043774,Lucknow
2025-10-07,89.46871487725524,Lucknow
2025-10-08,89.57295918367346,Lucknow
2025-10-09,89.9302795031056,Lucknow
2025-10-10,90.1506728778468,Lucknow
2025-10-11,90.89733436853003,Lucknow
2025-10-12,89.713483436853,Lucknow
2025-10-13,87.5605072463768,Lucknow
2025-10-14,85.37819432120673,Lucknow
2025-10-15,85.2900990831115,Lucknow
2025-10-16,84.4692351644215,Lucknow
2025-10-17,84.5489970691834,Lucknow
2025-10-18,83.62912129278588,Lucknow
2025-10-19,82.49495980210266,Lucknow
2025-10-20,85.73693702777553,Lucknow
2025-10-21,87.6942499529456,Lucknow
2025-10-22,87.48555430077168,Lucknow
2025-10-23,87.05522034900916,Lucknow
