ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,city
2025-09-26,65.32277356666667,70.86613774309298,79.3803055229241,65.32277356666667,65.32277356666667,9.716514266401694,9.716514266401694,9.716514266401694,9.716514266401694,9.716514266401694,9.716514266401694,0.0,0.0,0.0,75.03928783306836,Indore
2025-09-27,65.36919299886112,44.030079872331484,53.2528741194159,65.36919299886112,65.36919299886112,-16.692170812680963,-16.692170812680963,-16.692170812680963,-16.692170812680963,-16.692170812680963,-16.692170812680963,0.0,0.0,0.0,48.67702218618016,Indore
2025-09-28,65.41561242983964,42.2974373372256,51.118251036341306,65.41561242983964,65.41561242983964,-18.58980348978853,-18.58980348978853,-18.58980348978853,-18.58980348978853,-18.58980348978853,-18.58980348978853,0.0,0.0,0.0,46.82580894005111,Indore
2025-09-29,65.46203185785855,69.56052896323769,78.31188148350927,65.46203185785855,65.46203185785855,8.28978749333163,8.28978749333163,8.28978749333163,8.28978749333163,8.28978749333163,8.28978749333163,0.0,0.0,0.0,73.75181935119018,Indore
2025-09-30,65.50845128582452,68.49723091140673,77.42860367371017,65.50845128582452,65.50845128582452,7.395673087228154,7.395673087228154,7.395673087228154,7.395673087228154,7.395673087228154,7.395673087228154,0.0,0.0,0.0,72.90412437305267,Indore
2025-10-01,65.55487071753048,65.74438469066467,74.39713301692014,65.55487071753048,65.55487071753048,4.539941811457517,4.539941811457517,4.539941811457517,4.539941811457517,4.539941811457517,4.539941811457517,0.0,0.0,0.0,70.094812528988,Indore
2025-10-02,65.60129015056701,66.41717089511712,75.53974933837475,65.60129015056701,65.60129015056701,5.340057644177425,5.340057644177425,5.340057644177425,5.340057644177425,5.340057644177425,5.340057644177425,0.0,0.0,0.0,70.94134779474443,Indore
2025-10-03,65.6477095864268,70.87224513882833,79.86437726651617,65.6477095864268,65.6477095864268,9.716514266404763,9.716514266404763,9.716514266404763,9.716514266404763,9.716514266404763,9.716514266404763,0.0,0.0,0.0,75.36422385283156,Indore
2025-10-04,65.69405883968423,44.4933707158772,53.292883422101156,65.69405883968423,65.69405883968423,-16.692170812715055,-16.692170812715055,-16.692170812715055,-16.692170812715055,-16.692170812715055,-16.692170812715055,0.0,0.0,0.0,49.001888026969176,Indore
2025-10-05,65.74040808951378,42.67393762891196,51.5099631428377,65.74040808951378,65.74040808951378,-18.58980348980583,-18.58980348980583,-18.58980348980583,-18.58980348980583,-18.58980348980583,-18.58980348980583,0.0,0.0,0.0,47.15060459970795,Indore
