date,trend,city
2025-09-29,79.80343530692909,Ahmedabad
2025-09-30,81.03736387835767,Ahmedabad
2025-10-01,79.61669288268668,Ahmedabad
2025-10-02,81.5326792772445,Ahmedabad
2025-10-03,81.96153538490495,Ahmedabad
2025-10-04,78.86752070393374,Ahmedabad
2025-10-05,77.61296583850931,Ahmedabad
2025-10-06,75.05421372106154,Ahmedabad
2025-10-07,75.5019178026942,Ahmedabad
2025-10-08,74.736441612218,Ahmedabad
2025-10-09,73.25414347557204,Ahmedabad
2025-10-10,72.13861552526149,Ahmedabad
2025-10-11,71.79327391035466,Ahmedabad
2025-10-12,72.8938691484499,Ahmedabad
2025-10-13,74.42777654540076,Ahmedabad
2025-10-14,73.53364389233954,Ahmedabad
2025-10-15,74.32173913043478,Ahmedabad
2025-10-16,76.24040090344438,Ahmedabad
2025-10-17,77.27992362328747,Ahmedabad
2025-10-18,77.52447472436032,Ahmedabad
2025-10-19,76.58729939968498,Ahmedabad
2025-10-20,76.10717517608249,Ahmedabad
2025-10-21,76.39607269161044,Ahmedabad
2025-10-22,77.73119173922949,Ahmedabad
2025-10-23,76.98836551783185,Ahmedabad
